region_key,scenario,cluster,is_extreme,total_houses,num_contractors,contractor_ratio,minor_count,moderate_count,major_count,seed
SCN_major_dominant_std_00_42,major_dominant,major_dominant,False,14297,1564,0.10941773478876496,3032,2978,8287,1497586438
SCN_major_dominant_std_01_42,major_dominant,major_dominant,False,35661,5172,0.14503859378955672,5609,9675,20377,275121930
SCN_major_dominant_std_02_42,major_dominant,major_dominant,False,30121,4348,0.1443414198827331,6627,7921,15573,1766867109
SCN_major_dominant_std_03_42,major_dominant,major_dominant,False,52915,8634,0.1631664399122065,9304,14871,28740,1777324407
SCN_major_dominant_std_04_42,major_dominant,major_dominant,False,32284,5741,0.1778383497073762,6131,7090,19063,1917963002
SCN_major_dominant_std_05_42,major_dominant,major_dominant,False,37329,6283,0.16830489532424547,6792,9911,20626,331334160
SCN_major_dominant_std_06_42,major_dominant,major_dominant,False,55277,8123,0.1469555811275808,15054,12318,27905,795556160
SCN_major_dominant_std_07_42,major_dominant,major_dominant,False,26510,4427,0.16698139946825105,6454,6461,13595,487284116
SCN_major_dominant_std_08_42,major_dominant,major_dominant,False,31761,4407,0.13874783790301745,7120,8421,16220,1728218297
SCN_major_dominant_std_09_42,major_dominant,major_dominant,False,51637,5202,0.10073622697510055,10241,13975,27421,429299595
SCN_major_dominant_std_10_42,major_dominant,major_dominant,False,23856,3480,0.145891577553834,5158,6710,11988,1676602826
SCN_major_dominant_std_11_42,major_dominant,major_dominant,False,31981,4705,0.14710962061431326,5452,7470,19059,1435384429
SCN_major_dominant_std_12_42,major_dominant,major_dominant,False,38269,5967,0.15592071607454136,5485,9780,23004,1188802709
SCN_major_dominant_std_13_42,major_dominant,major_dominant,False,59137,8330,0.1408528643724636,13714,13969,31454,460817075
SCN_major_dominant_std_14_42,major_dominant,major_dominant,False,52784,6828,0.12935937577666837,9071,12462,31251,604267306
SCN_major_dominant_std_15_42,major_dominant,major_dominant,False,59806,8411,0.14063868614400707,13387,13698,32721,1426602463
SCN_major_dominant_std_16_42,major_dominant,major_dominant,False,15307,2636,0.17223593505964505,3419,3501,8387,193376308
SCN_major_dominant_std_17_42,major_dominant,major_dominant,False,56903,9653,0.16963203750777361,12474,13142,31287,327087749
SCN_major_dominant_std_18_42,major_dominant,major_dominant,False,44185,6017,0.13618126105533904,9956,10810,23419,1353521561
SCN_major_dominant_std_19_42,major_dominant,major_dominant,False,28313,4812,0.16997071338107497,4738,6570,17005,1951162175
SCN_major_dominant_std_20_42,major_dominant,major_dominant,False,23057,3342,0.14493615021437886,4168,6809,12080,1539509957
SCN_major_dominant_std_21_42,major_dominant,major_dominant,False,16378,1969,0.12023633647952303,3341,3693,9344,978772129
SCN_major_dominant_std_22_42,major_dominant,major_dominant,False,33160,5831,0.17585195298352102,7186,8578,17396,1839565166
SCN_major_dominant_std_23_42,major_dominant,major_dominant,False,17011,2807,0.16498466015548202,3076,4460,9475,1254340836
SCN_major_dominant_std_24_42,major_dominant,major_dominant,False,18973,2523,0.13298612123327855,3095,5004,10874,1060837206
SCN_major_dominant_std_25_42,major_dominant,major_dominant,False,49674,9563,0.19251201183767974,10382,14948,24344,366345609
SCN_major_dominant_std_26_42,major_dominant,major_dominant,False,24737,4845,0.19585592132414453,4778,5051,14908,48970939
SCN_major_dominant_std_27_42,major_dominant,major_dominant,False,23792,3547,0.1490706994354521,3771,6213,13808,1045090807
SCN_major_dominant_std_28_42,major_dominant,major_dominant,False,50380,6708,0.13315689973425524,12236,11888,26256,573325870
SCN_major_dominant_std_29_42,major_dominant,major_dominant,False,28184,5344,0.1896160771839767,5422,6667,16095,1774448394
SCN_major_dominant_std_30_42,major_dominant,major_dominant,False,43300,5548,0.12812337838390084,9472,10202,23626,1443624606
SCN_major_dominant_std_31_42,major_dominant,major_dominant,False,26034,4988,0.1916011845137608,5058,7680,13296,231371919
SCN_major_dominant_std_32_42,major_dominant,major_dominant,False,37340,6832,0.18297897431324134,6439,8919,21982,796549538
SCN_major_dominant_std_33_42,major_dominant,major_dominant,False,41742,6324,0.15150571292317147,9422,8628,23692,624741299
SCN_major_dominant_std_34_42,major_dominant,major_dominant,False,36658,5261,0.1435097060003038,7345,8287,21026,96444820
SCN_major_dominant_std_35_42,major_dominant,major_dominant,False,52282,9899,0.18934466396978633,7639,13182,31461,1912962306
SCN_major_dominant_std_36_42,major_dominant,major_dominant,False,26779,3679,0.137365772887371,5279,7547,13953,1420906742
SCN_major_dominant_std_37_42,major_dominant,major_dominant,False,10265,1274,0.12409705750056849,2053,2944,5268,2011790921
SCN_major_dominant_std_38_42,major_dominant,major_dominant,False,47337,7571,0.15993827915208436,11166,13387,22784,384975759
SCN_major_dominant_std_39_42,major_dominant,major_dominant,False,26021,3905,0.15007411862023423,4285,5894,15842,2086981357
